Código,Marca,Modelo,Dim.,Ubicación,EMP (uds.),CAJA P. V.,PRECIO DE VENTA POR UNIDAD,Página
R200050,DAF,,Ø32 x 73 mm,Zapata de freno,10,150 PZA,$5.90,6
R200051,DAF,"F 2800/2900/3200, F 3300/3600, N 2800, F 65/95, 65 CF, Bus",Ø32 x 95 mm,Zapata de freno,10,PZA,$7.58,6
R200052,DAF,,Ø32 x 100 mm,Zapata de freno,10,PZA,$8.02,6
R200053,BPW,"BPW H../R.., KH../KR..",Ø36 x 135 mm,Zapata de freno,10,PZA,$12.27,6
R200054,BPW,"BPW H../R.., KH../KR..",Ø36 x 145 mm,Zapata de freno,10,PZA,$14.03,6
