Código,Marca,Modelo,Ubicación,Grado SAE,Dim.,EMP (uds.),CAJA P. V.,PRECIO DE VENTA POR UNIDAD,Página
ACOCO00005,Toyota,"4Runner, FJ Cruiser, Hilux, Land Cruiser, Land Cruiser Prado, Tacoma",Caliper posterior,Clase 10.9,Ø9.2 x 80 mm. c/rca.,10,250 PZA,$2.04,2
ACOA000005,Toyota,"Land Cruiser, Rav4",Caliper delantero,Clase 10.9,Ø9.7 x 73 mm. c/pno.,10,250 PZA,$2.58,2
ACOA000006,Toyota,"Auris, Camry, Corolla, Highlander, Prius, Rav4, Urban Cruiser, Vitz, Yaris",Caliper delantero,Clase 10.9,Ø10.8 x 77 mm c/pno.,10,250 PZA,$2.12,2
ACOA000008,Toyota,"Land Cruiser, Rav4",Caliper delantero,Clase 10.9,Ø9.9 x 72 mm. c/pno.,10,250 PZA,$2.12,2
ACOA000009,Toyota,"Celica, Corolla, Platz, Probox, Sienna, Vitz, Yaris",Caliper delantero,Clase 10.9,Ø8.8 x 64 mm. c/pno.,10,298 PZA,$1.85,2
