Código,Marca,ØInt.,Ubicación,Obs.,EMP (uds.),CAJA P. V.,PRECIO DE VENTA POR UNIDAD,Página
AAGAI00001,"Dodge, BPW",⅔",Artillero,Artillero,2,50 PZA,$4.11,1
AAGAI00001,"Dodge, BPW",⅔",Artillero,Artillero,2,50 PZA,$4.68,1
AAGAI00003,"Mercedes-Benz, Scania",19 mm,"Aro, Aro delantero","Para aro trilex",2,50 PZA,$5.61,1
AAGAI00004,"BPW, MAN, Mercedes-Benz, Renault, Scania, Volvo",19 mm,Aro posterior,"Para aro trilex, para perno M18",2,50 PZA,,1
AAGAI00005,"Mercedes-Benz, Scania",21 mm,Aro delantero,"Para aro trilex",5,30 PZA,$5.61,1
AAGAI00006,"BPW, MAN, Mercedes-Benz, Renault, Scania, Volvo",21 mm,Aro posterior,"Para aro trilex, para perno M20",2,50 PZA,,1
