Código,Marca,Modelo,ØInt.,EMP (uds.),CAJA P. V.,PRECIO DE VENTA POR UNIDAD,Página
ADAA000025,"Mitsubishi, Hyundai","Canter - County, Chorus, HD 65/72, Mighty",40 mm,1,20 PZA,$24.73,9
ADAA000022,"Mitsubishi, Hyundai, Toyota","Canter, Rosa - County, HD 65/72, Mighty - Couster, Dyna",35 mm,1,20 PZA,$23.73,9
ADAA000031,Sinotruk,Howo 7, Howo A7,70 mm,1,5 PZA,$57.88,9
ADAA000030,Hino,,65 mm,1,5 PZA,$41.17,9
